language,hamm,slink,potato,woody,sarge,etch,lenny,squeeze,wheezy,jessie,stretch,sid
ada,237548,264741,419518,579098,1119249,760930,854926,1255862,1501389,1759768,658135,2636572
ansic,26206621,39803328,47813754,92761041,114612187,140779473,158928900,195201463,261524625,328529961,354722510,439118957
asm,384911,640752,568595,2634041,2778452,4420044,4059950,4742610,8110136,10258921,12321264,14613919
awk,17386,21461,29231,43456,157822,65850,72246,85457,103584,118728,125053,148029
cobol,0,0,0,5377,5404,5404,363,413,596,641,641,661
cpp,2296148,3491181,6348639,16098796,34280662,47212779,66275622,96012740,152830806,181661600,172330931,274002329
cs,510,1259,1084,5232,41991,2361711,3694385,5507286,7348555,9264487,9298527,9776519
csh,14170,24793,26492,30711,28449,27977,31213,41042,47621,62967,52033,74705
erlang,0,0,213902,364,505,703843,830857,1261169,1619510,1787694,1842674,1968295
exp,61204,66578,159297,175435,393029,425502,465200,422391,556470,941251,820473,1040569
f90,171,171,196,6825,36954,36578,290364,754594,1072059,7458285,7162835,7576285
fortran,702876,1024552,1426714,2258729,2893803,2040169,2230129,2471209,8067877,9575616,5001450,9948043
haskell,0,12143,14472,284339,983044,580594,671832,911023,1523478,1920905,2049244,2190131
java,59166,131955,274021,1417334,3997325,6062017,18098764,26971205,43907469,48866523,56622196,67307436
jsp,0,0,4932,11059,58697,50762,75765,81116,102520,73835,58512,107379
lex,47396,57278,87013,164529,236954,269545,279556,314522,372095,518863,514741,606842
lisp,2323117,2467769,3378393,5134730,6921036,7168640,8084246,9526726,8621241,10845573,11009973,18149652
makefile,563093,757332,1072285,1897404,2944709,3359702,3711044,5059628,5612270,5042078,5145771,6490190
ml,57523,59688,151335,375085,713445,1232171,1775492,2439251,3508633,3887264,3939710,4307549
modula3,484,484,572168,576802,2153,2153,1949,1975,1941,1973,1969,2005
objc,174733,230849,428616,567221,813618,1080391,1162705,1263661,1730399,2720070,2563684,3685097
pascal,23006,52597,307212,427077,1351200,1115891,861665,3618826,4236070,5248390,5859032,7009223
perl,479426,771093,1334959,2957428,6122744,7976635,9210173,12023315,16145100,18134770,18447746,22085064
php,1031,1329,32183,577920,1822293,2999540,4019285,4527328,5546642,7806972,7646428,10455519
python,112783,203691,355023,1509107,4404619,6476110,10086791,15297166,24115206,33508379,36101898,45692308
ruby,0,90,36202,84548,477448,1285560,2090553,4214547,4059942,5047333,6328341,6816946
sed,11175,15650,25417,35442,31599,29414,26287,23586,26851,39362,51927,55856
sh,781751,1289616,2875509,8875633,20631630,30593763,32405982,36468546,39734247,46924404,47754871,54832091
sql,4567,4824,16956,55758,99628,528927,676360,1736003,2723080,4142179,4097470,4525147
tcl,350203,502435,666827,1202928,2100650,1721951,1932307,2426580,2540777,3023923,2922924,3431121
vhdl,0,0,0,0,16028,483,483,369,40343,60971,64489,75153
xml,0,8217,103822,2035742,5646384,9866799,17417240,27426556,34590169,47507502,52809705,60120099
yacc,191781,250291,336939,469934,581315,698109,713041,853315,1094493,1232597,1247716,1530974
